"","horizontalPosition","verticalPosition","t","mean_vswc","n"
"398","5","501",2020-05-14 11:00:00,0.14188,20
"399","5","501",2020-05-14 23:00:00,0.141352380952381,21
"400","5","501",2020-05-15 11:00:00,0.139665,20
"401","5","501",2020-05-15 23:00:00,0.139638095238095,21
"402","5","501",2020-05-16 11:00:00,0.139590476190476,21
"403","5","501",2020-05-16 23:00:00,0.139408695652174,23
"404","5","501",2020-05-17 11:00:00,0.135486956521739,23
"405","5","501",2020-05-17 23:00:00,0.138218181818182,22
"406","5","501",2020-05-18 11:00:00,0.13615,8
"407","5","501",2020-05-18 23:00:00,0.132773684210526,19
"408","5","501",2020-05-19 11:00:00,0.130686666666667,15
"409","5","501",2020-05-19 23:00:00,0.126229166666667,24
"410","5","501",2020-05-20 11:00:00,0.122829166666667,24
"411","5","501",2020-05-20 23:00:00,0.125814285714286,21
"412","5","501",2020-05-21 11:00:00,0.130575,20
"413","5","501",2020-05-21 23:00:00,0.131091304347826,23
"414","5","501",2020-05-22 11:00:00,0.12615652173913,23
"415","5","501",2020-05-22 23:00:00,0.138331578947368,19
"416","5","501",2020-05-23 11:00:00,0.169344444444444,18
"417","5","501",2020-05-23 23:00:00,0.17114347826087,23
"418","5","501",2020-05-24 11:00:00,0.170775,20
"419","5","501",2020-05-24 23:00:00,0.1772875,24
"420","5","501",2020-05-25 11:00:00,0.17954347826087,23
"421","5","501",2020-05-25 23:00:00,0.188995652173913,23
"422","5","501",2020-05-26 11:00:00,0.182927272727273,22
"423","5","501",2020-05-26 23:00:00,0.190345833333333,24
"424","5","501",2020-05-27 11:00:00,0.1838,21
"425","5","501",2020-05-27 23:00:00,0.180247619047619,21
"426","5","501",2020-05-28 11:00:00,0.174963636363636,22
"427","5","501",2020-05-28 23:00:00,0.1725,21
"428","5","501",2020-05-29 11:00:00,0.165718181818182,22
"429","5","501",2020-05-29 23:00:00,0.163633333333333,24
"430","5","501",2020-05-30 11:00:00,0.158547368421053,19
"431","5","501",2020-05-30 23:00:00,0.151841666666667,24
"432","5","501",2020-05-31 11:00:00,0.148089473684211,19
"433","5","501",2020-05-31 23:00:00,0.145133333333333,24
"434","5","501",2020-06-01 11:00:00,0.138368421052632,19
"435","5","501",2020-06-01 23:00:00,0.136441666666667,24
"436","5","501",2020-06-02 11:00:00,0.1347,19
"437","5","501",2020-06-02 23:00:00,0.132058333333333,24
"438","5","501",2020-06-03 11:00:00,0.1296,24
"439","5","501",2020-06-03 23:00:00,0.128916666666667,24
"440","5","501",2020-06-04 11:00:00,0.125386363636364,22
"441","5","501",2020-06-04 23:00:00,0.121725,24
"442","5","501",2020-06-05 11:00:00,0.11853,20
"443","5","501",2020-06-05 23:00:00,0.118014285714286,21
"444","5","501",2020-06-06 11:00:00,0.1108,3
"445","5","501",2020-06-06 23:00:00,0.152027272727273,11
"446","5","501",2020-06-07 11:00:00,0.163415789473684,19
"447","5","501",2020-06-07 23:00:00,0.17248125,16
"448","5","501",2020-06-08 11:00:00,0.17376,15
"449","5","501",2020-06-08 23:00:00,0.173654545454545,22
"450","5","501",2020-06-09 11:00:00,0.181454545454545,22
"451","5","501",2020-06-09 23:00:00,0.193747826086957,23
"452","5","501",2020-06-10 11:00:00,0.186604166666667,24
"453","5","501",2020-06-10 23:00:00,0.192433333333333,24
"454","5","501",2020-06-11 11:00:00,0.18667,20
"455","5","501",2020-06-11 23:00:00,0.18954347826087,23
"456","5","501",2020-06-12 11:00:00,0.179842857142857,21
"457","5","501",2020-06-12 23:00:00,0.176891304347826,23
"458","5","501",2020-06-13 11:00:00,0.163861111111111,18
"459","5","501",2020-06-13 23:00:00,0.1577375,24
"460","5","501",2020-06-14 11:00:00,0.156325,24
"461","5","501",2020-06-14 23:00:00,0.156979166666667,24
"462","5","501",2020-06-15 11:00:00,0.151,22
"463","5","501",2020-06-15 23:00:00,0.150795833333333,24
"464","5","501",2020-06-16 11:00:00,0.144152941176471,17
